Unnamed: 0,discussion,is_moderator,response
0,"1) While the picture is very neat, that Eiling doesn't look a -thing- like the one from the comic books. It's my opinion we should use a picture from there.
2) The article seems to say Eiling bit off Steel's hand during their first confrontation. I don't have the issues but I remember Steel's hand staying exactly where it belonged. ",0.0,1
1,"It was irelevant as an isolated ""factoid"", and intrusive as phrased. -",0.0,"Comment: ""It was irelevant as an isolated ""factoid"", and intrusive as phr"
2," Faggoth has been cleared coz its noted on the Gothic Metal article now, instead of here. As for the other one that was deleted, i am readding it due to violation of AFD, and whoever deletes it again i will report to the admin noticeboard for violation of that AFD. ",0.0,"3

The comment is confrontational and implies a threat of reporting others to the admin noticeboard"
3," Please do not vandalize pages, as you did with this edit to Colby O. If you continue to do so, you will be blocked from editing.  ",0.0,1
4, The CNN articles are not primary sources.  ,0.0,1
5,"Nuts!  See Conker (disambiguation) and , which redirects to Conkers.  ",0.0,1
6,"'''About the army manual stuff''': I think he/she simply wanted to mean that the informations are from the Army's Manual. Nothing more. Happy editing, CONCOI - ",0.0,1
7," Please stop. If you continue to vandalize Wikipedia, you ''will'' be blocked from editing.   ",0.0,4
8,"""If one is diabetic, it is essential to make control of one's blood sugar levels a priority."" - Pedantic, yes, but ""to make control"" is indeed correct grammar.  It may well be untrue in the article... your version may well be more correct, and I defer to your strongly held opinion.  Thank you for your edits, and I am sorry that my reversion upset you.  All the best, and happy editing.- ",0.0,1
9,"I think you're right that editors already have an idea of what this page is about.  That's the problem - their idea is different from yours was when you wrote it.  I had a look at the what links here page, and there are more than 40 links, most of them quite recent, from assorted talk pages, user talk pages, and AFDs, and they're all treating it seriously and suggesting that new editors go and read it as a piece of serious information.  I think a discussion is a good idea, but I think before we go any further we need to make sure no more newbies get bitten.
If we set up a discussion, what options should we suggest?  Option 1 is to have a serious essay here and a humourous essay at WP:SRSLYNOCVS.  What's option 2?  Label this essay as humourous and remove all the serious links to it?  We'd have to contact all the editors who know about WP:RESUME and let them know that they should stop linking to it.  How do we find all the editors like me who've found it, taken note, but not used it yet?    - ",0.0,1
